Airbnb Listing ID,price,latitude,longitude,Meters from chosen location,Location,cluster,centroids,price_currency,size,color,segment
32624424,1476.3299560546875,52.38317108154297,4.9028401374816895,2025.0,Airbnb listing,1,0,MX 1476.33,5.0,#024c6f,Mid-range
32624428,1395.4300537109375,52.383148193359375,4.904049873352051,2053.0,Airbnb listing,1,0,MX 1395.43,5.0,#024c6f,Mid-range
32624428,1739.22998046875,52.385120391845696,4.904419898986816,2266.0,Airbnb listing,1,0,MX 1739.23,5.0,#024c6f,Mid-range
32624964,3316.679931640625,52.38322830200195,4.904270172119141,2067.0,Airbnb listing,1,0,MX 3316.68,5.0,#024c6f,Mid-range
32624966,4550.31982421875,52.38322067260742,4.902750015258789,2028.0,Airbnb listing,0,0,MX 4550.32,5.0,#061b2c,Budget
32624968,8008.56005859375,52.38483047485352,4.9047698974609375,2245.0,Airbnb listing,3,0,MX 8008.56,6.0,#3abdf3,Elite
32625292,1739.22998046875,52.38312149047852,4.904419898986816,2060.0,Airbnb listing,1,0,MX 1739.23,5.0,#024c6f,Mid-range
32635928,2730.18994140625,52.364280700683594,4.934850215911865,2890.0,Airbnb listing,1,0,MX 2730.19,5.0,#024c6f,Mid-range
32679808,2831.31005859375,52.379589080810554,4.882090091705321,1654.0,Airbnb listing,1,0,MX 2831.31,5.0,#024c6f,Mid-range
32683114,3175.110107421875,52.353828430175774,4.9018898010253915,1511.0,Airbnb listing,1,0,MX 3175.11,5.0,#024c6f,Mid-range
32691008,3215.56005859375,52.363861083984375,4.872039794921875,1404.0,Airbnb listing,1,0,MX 3215.56,5.0,#024c6f,Mid-range
32692692,4327.85986328125,52.38594818115234,4.882470130920409,2306.0,Airbnb listing,0,0,MX 4327.86,5.0,#061b2c,Budget
32707588,4186.2900390625,52.363990783691406,4.8860697746276855,489.0,Airbnb listing,0,0,MX 4186.29,5.0,#061b2c,Budget
32717808,910.0599975585936,52.37525177001953,4.849939823150635,3056.0,Airbnb listing,1,0,MX 910.06,5.0,#024c6f,Mid-range
32729548,1981.9200439453125,52.375789642333984,4.837480068206787,3880.0,Airbnb listing,1,0,MX 1981.92,5.0,#024c6f,Mid-range
32774324,3235.780029296875,52.36803817749024,4.86688995361328,1744.0,Airbnb listing,1,0,MX 3235.78,5.0,#024c6f,Mid-range
32780892,4267.18994140625,52.353958129882805,4.86536979675293,2279.0,Airbnb listing,0,0,MX 4267.19,5.0,#061b2c,Budget
32796572,4044.7299804687505,52.37166976928711,4.853020191192626,2743.0,Airbnb listing,0,0,MX 4044.73,5.0,#061b2c,Budget
32806652,1516.77001953125,52.35594177246094,4.854660034179688,2800.0,Airbnb listing,1,0,MX 1516.77,5.0,#024c6f,Mid-range
32806990,3033.5400390625,52.36915969848633,4.8583598136901855,2335.0,Airbnb listing,1,0,MX 3033.54,5.0,#024c6f,Mid-range
32861412,2325.719970703125,52.3875389099121,4.887020111083984,2410.0,Airbnb listing,1,0,MX 2325.72,5.0,#024c6f,Mid-range
32879140,9525.330078125,52.371368408203125,4.856910228729248,2478.0,Airbnb listing,3,0,MX 9525.33,6.0,#3abdf3,Elite
32888044,2224.60009765625,52.37760162353516,4.89546012878418,1295.0,Airbnb listing,1,0,MX 2224.6,5.0,#024c6f,Mid-range
32905830,16178.91015625,52.3619499206543,4.902289867401123,816.0,Airbnb listing,2,0,MX 16178.91,7.0,#057ab1,Premium
32919528,3822.2700195312495,52.38582611083984,4.88726806640625,2219.0,Airbnb listing,0,0,MX 3822.27,5.0,#061b2c,Budget
32948156,3033.5400390625,52.37533950805664,4.856060028076172,2671.0,Airbnb listing,1,0,MX 3033.54,5.0,#024c6f,Mid-range
32956414,4044.7299804687505,52.360698699951165,4.982900142669678,6175.0,Airbnb listing,0,0,MX 4044.73,5.0,#061b2c,Budget
32973072,4166.06982421875,52.35604095458984,4.893400192260742,1122.0,Airbnb listing,0,0,MX 4166.07,5.0,#061b2c,Budget
32974828,1799.9000244140625,52.376628875732415,4.861730098724365,2387.0,Airbnb listing,1,0,MX 1799.9,5.0,#024c6f,Mid-range
32982336,2629.070068359375,52.34054183959961,4.84561014175415,4263.0,Airbnb listing,1,0,MX 2629.07,5.0,#024c6f,Mid-range
32988652,8797.2802734375,52.31856918334961,4.958280086517334,6927.0,Airbnb listing,3,0,MX 8797.28,6.0,#3abdf3,Elite
33008704,5986.2001953125,52.35391998291016,4.882820129394531,1503.0,Airbnb listing,0,0,MX 5986.2,6.0,#061b2c,Budget
33008830,6613.1298828125,52.35406875610352,4.881579875946045,1527.0,Airbnb listing,0,0,MX 6613.13,6.0,#061b2c,Budget
33008920,5440.16015625,52.35586929321289,4.88185977935791,1345.0,Airbnb listing,0,0,MX 5440.16,6.0,#061b2c,Budget
33013916,2831.31005859375,52.367801666259766,4.8506999015808105,2837.0,Airbnb listing,1,0,MX 2831.31,5.0,#024c6f,Mid-range
33026828,10961.2099609375,52.340530395507805,4.920000076293944,3407.0,Airbnb listing,3,0,MX 10961.21,6.0,#3abdf3,Elite
33029686,2993.10009765625,52.351428985595696,4.892849922180176,1633.0,Airbnb listing,1,0,MX 2993.1,5.0,#024c6f,Mid-range
33036836,3033.5400390625,52.38518142700195,4.88601016998291,2164.0,Airbnb listing,1,0,MX 3033.54,5.0,#024c6f,Mid-range
33042336,3033.5400390625,52.394508361816406,4.931499958038329,4125.0,Airbnb listing,1,0,MX 3033.54,5.0,#024c6f,Mid-range
33061796,4044.7299804687505,52.33927917480469,4.942180156707764,4510.0,Airbnb listing,0,0,MX 4044.73,5.0,#061b2c,Budget
